airport,city,timestamp,temp,humidity,wind_speed,weather_main,cloudcover,precip_mm,pressure,visibility
ATL,Atlanta,2022-03-01 00:00:00,8.0,66,1.0,Clear,12,0.0,1023,10
ATL,Atlanta,2022-03-01 01:00:00,7.0,67,2.0,Partly cloudy,40,0.0,1023,10
ATL,Atlanta,2022-03-01 02:00:00,6.0,69,2.0,Cloudy,68,0.0,1022,10
ATL,Atlanta,2022-03-01 03:00:00,6.0,70,3.0,Overcast,96,0.0,1022,10
ATL,Atlanta,2022-03-01 04:00:00,5.0,71,3.0,Overcast,97,0.0,1022,10
ATL,Atlanta,2022-03-01 05:00:00,5.0,71,3.0,Overcast,98,0.0,1022,10
ATL,Atlanta,2022-03-01 06:00:00,5.0,72,3.0,Overcast,100,0.0,1022,10
ATL,Atlanta,2022-03-01 07:00:00,5.0,71,3.0,Overcast,99,0.0,1023,10
ATL,Atlanta,2022-03-01 08:00:00,7.0,70,6.0,Overcast,98,0.0,1023,10
ATL,Atlanta,2022-03-01 09:00:00,9.0,69,3.0,Overcast,98,0.0,1024,10
ATL,Atlanta,2022-03-01 10:00:00,10.0,62,3.0,Cloudy,69,0.0,1023,10
ATL,Atlanta,2022-03-01 11:00:00,12.0,55,4.0,Partly cloudy,40,0.0,1023,10
ATL,Atlanta,2022-03-01 12:00:00,13.0,48,5.0,Sunny,11,0.0,1023,10
ATL,Atlanta,2022-03-01 13:00:00,15.0,44,6.0,Sunny,18,0.0,1022,10
ATL,Atlanta,2022-03-01 14:00:00,16.0,39,7.0,Partly cloudy,25,0.0,1021,10
ATL,Atlanta,2022-03-01 15:00:00,17.0,35,8.0,Partly cloudy,33,0.0,1020,10
ATL,Atlanta,2022-03-01 16:00:00,17.0,32,9.0,Sunny,22,0.0,1020,10
ATL,Atlanta,2022-03-01 17:00:00,16.0,30,11.0,Sunny,11,0.0,1020,10
ATL,Atlanta,2022-03-01 18:00:00,15.0,28,12.0,Clear,0,0.0,1019,10
ATL,Atlanta,2022-03-01 19:00:00,14.0,31,11.0,Clear,0,0.0,1020,10
ATL,Atlanta,2022-03-01 20:00:00,12.0,35,10.0,Clear,0,0.0,1020,10
