Carrier_Airline,Tail_Number,Origin,Dest,Schedule_DateTime,Flight_Duration_Minutes,Flight_Delay,Orientation
OH,N509AE,CLE,DCA,2022-03-30 20:04:00,76.0,-4.0,East-West
OH,N583NN,DCA,ORF,2022-03-01 18:00:00,63.0,120.0,North-South
OH,N583NN,ORF,DCA,2022-03-01 19:35:00,65.0,137.0,North-South
OH,N602NN,CLT,CAE,2022-03-03 19:05:00,52.0,2.0,North-South
OH,N548NN,CLT,CAE,2022-03-04 19:05:00,52.0,9.0,North-South
OH,N594NN,CLT,CAE,2022-03-05 19:05:00,52.0,-16.0,North-South
OH,N615NN,CLT,CAE,2022-03-06 19:05:00,52.0,-8.0,North-South
OH,N572NN,CLT,CAE,2022-03-07 19:05:00,52.0,6.0,North-South
OH,N576NN,CLT,CAE,2022-03-10 19:05:00,52.0,15.0,North-South
OH,N605NN,CLT,CAE,2022-03-11 19:05:00,52.0,3.0,North-South
OH,N578NN,CLT,CAE,2022-03-12 19:05:00,52.0,26.0,North-South
OH,N601EN,CLT,CAE,2022-03-13 19:05:00,52.0,100.0,North-South
OH,N555NN,CLT,CAE,2022-03-14 19:05:00,52.0,39.0,North-South
OH,N574NN,CLT,CAE,2022-03-17 19:05:00,52.0,-11.0,North-South
OH,N586NN,CLT,CAE,2022-03-18 19:05:00,52.0,-16.0,North-South
OH,N601EN,CLT,CAE,2022-03-19 19:05:00,52.0,-11.0,North-South
OH,N580NN,CLT,CAE,2022-03-20 19:05:00,52.0,-12.0,North-South
OH,N591NN,CLT,CAE,2022-03-21 19:05:00,52.0,-19.0,North-South
OH,N609NN,CLT,CAE,2022-03-24 19:05:00,52.0,-15.0,North-South
OH,N601EN,CLT,CAE,2022-03-25 19:05:00,52.0,-22.0,North-South
OH,N601EN,CLT,CAE,2022-03-26 19:05:00,52.0,-11.0,North-South
OH,N559NN,CLT,CAE,2022-03-27 19:05:00,52.0,-7.0,North-South
