Carrier_Airline,Tail_Number,Origin,Dest,Schedule_DateTime,Flight_Duration_Minutes,Flight_Delay,Orientation
OH,N500AE,DCA,PHL,2022-03-31 17:54:00,63.0,153.0,East-West
OH,N501BG,ILM,CLT,2022-03-31 16:13:00,73.0,127.0,East-West
OH,N502AE,SAV,DCA,2022-03-30 11:13:00,102.0,20.0,North-South
OH,N503AE,CLT,LFT,2022-03-30 21:00:00,150.0,85.0,East-West
OH,N504AE,DCA,BHM,2022-03-31 13:57:00,133.0,12.0,East-West
OH,N505AE,ILM,DCA,2022-03-28 18:40:00,80.0,-2.0,North-South
OH,N506AE,DCA,ORF,2022-03-31 13:44:00,60.0,1.0,North-South
OH,N507AE,DCA,PHL,2022-03-29 17:54:00,63.0,-8.0,East-West
OH,N508AE,STL,DCA,2022-03-31 14:45:00,124.0,-23.0,East-West
OH,N509AE,HSV,DCA,2022-03-31 15:52:00,113.0,42.0,East-West
OH,N510AE,CLT,FAY,2022-03-29 18:20:00,64.0,17.0,East-West
OH,N511AE,CLT,SBN,2022-03-31 20:19:00,118.0,-11.0,North-South
OH,N512AE,DCA,HPN,2022-03-29 20:15:00,90.0,8.0,East-West
OH,N513AE,DCA,CAK,2022-03-18 19:17:00,74.0,55.0,East-West
OH,N514AE,DCA,ORF,2022-03-31 08:30:00,58.0,-4.0,North-South
OH,N515AE,CLT,CSG,2022-03-26 20:29:00,88.0,-8.0,East-West
OH,N516AE,MHT,PHL,2022-03-31 16:42:00,92.0,-9.0,East-West
OH,N517AE,ILM,DCA,2022-03-31 18:40:00,80.0,117.0,North-South
OH,N518AE,CLT,LFT,2022-03-31 22:31:00,150.0,13.0,East-West
OH,N519AE,CLT,CSG,2022-03-30 20:29:00,88.0,-10.0,East-West
OH,N520DC,PHL,CVG,2022-03-31 17:35:00,114.0,9.0,East-West
OH,N522AE,ILM,DCA,2022-03-30 18:40:00,80.0,34.0,North-South
OH,N523AE,BGR,DCA,2022-03-11 17:31:00,123.0,48.0,East-West
OH,N524AE,PHL,CVG,2022-03-30 17:35:00,114.0,-1.0,East-West
OH,N525AE,CLT,LFT,2022-03-29 21:00:00,150.0,-5.0,East-West
OH,N526EA,DCA,HSV,2022-03-31 21:08:00,123.0,88.0,East-West
OH,N527EA,CLT,SBN,2022-03-21 20:19:00,118.0,10.0,North-South
OH,N528EG,DCA,BHM,2022-03-28 13:57:00,133.0,52.0,East-West
OH,N529EA,DCA,HPN,2022-03-31 20:15:00,90.0,222.0,East-West
