chain_id,tail_number,flight1_Tail_Number,flight1_Flight_Duration_Minutes,flight1_Dest,flight1_Schedule_DateTime,flight1_Carrier_Airline,flight1_Origin,flight1_Flight_Delay,flight1_Orientation,flight2_Tail_Number,flight2_Flight_Duration_Minutes,flight2_Dest,flight2_Schedule_DateTime,flight2_Carrier_Airline,flight2_Origin,flight2_Flight_Delay,flight2_Orientation,flight3_Tail_Number,flight3_Flight_Duration_Minutes,flight3_Dest,flight3_Schedule_DateTime,flight3_Carrier_Airline,flight3_Origin,flight3_Flight_Delay,flight3_Orientation,ground_time_1,ground_time_2,flight2_PFD,flight2_FTD,flight3_PFD,flight3_FTD,delay_label,delay_category
0,N500AE,N500AE,95.0,IAD,2022-03-11 18:11:00,OH,CLT,-28.0,North-South,N500AE,92.0,CLT,2022-03-11 20:16:00,OH,IAD,6.0,North-South,N500AE,143.0,AEX,2022-03-12 14:35:00,OH,CLT,158.0,East-West,30.0,1007.0,-28.0,30.0,6.0,1007.0,158.0,4
1,N500AE,N500AE,92.0,CLT,2022-03-11 20:16:00,OH,IAD,6.0,North-South,N500AE,143.0,AEX,2022-03-12 14:35:00,OH,CLT,158.0,East-West,N500AE,133.0,HSV,2022-03-13 13:59:00,OH,DCA,19.0,East-West,1007.0,1261.0,6.0,1007.0,158.0,1261.0,19.0,2
2,N500AE,N500AE,123.0,ITH,2022-03-26 20:51:00,OH,CLT,-13.0,North-South,N500AE,113.0,DCA,2022-03-27 10:05:00,OH,HSV,-9.0,East-West,N500AE,74.0,DCA,2022-03-28 06:39:00,OH,GSO,-22.0,East-West,671.0,1121.0,-13.0,671.0,-9.0,1121.0,-22.0,0
3,N500AE,N500AE,113.0,DCA,2022-03-27 10:05:00,OH,HSV,-9.0,East-West,N500AE,74.0,DCA,2022-03-28 06:39:00,OH,GSO,-22.0,East-West,N500AE,119.0,SAV,2022-03-28 08:35:00,OH,DCA,-8.0,North-South,1121.0,42.0,-9.0,1121.0,-22.0,42.0,-8.0,0
4,N500AE,N500AE,74.0,DCA,2022-03-28 06:39:00,OH,GSO,-22.0,East-West,N500AE,119.0,SAV,2022-03-28 08:35:00,OH,DCA,-8.0,North-South,N500AE,102.0,DCA,2022-03-28 11:13:00,OH,SAV,-2.0,North-South,42.0,39.0,-22.0,42.0,-8.0,39.0,-2.0,0
5,N500AE,N500AE,124.0,DCA,2022-03-30 14:45:00,OH,STL,-15.0,East-West,N500AE,74.0,DCA,2022-03-31 06:39:00,OH,GSO,23.0,East-West,N500AE,119.0,SAV,2022-03-31 08:35:00,OH,DCA,41.0,North-South,830.0,42.0,-15.0,830.0,23.0,42.0,41.0,2
6,N500AE,N500AE,74.0,DCA,2022-03-31 06:39:00,OH,GSO,23.0,East-West,N500AE,119.0,SAV,2022-03-31 08:35:00,OH,DCA,41.0,North-South,N500AE,102.0,DCA,2022-03-31 11:13:00,OH,SAV,17.0,North-South,42.0,39.0,23.0,42.0,41.0,39.0,17.0,2
7,N500AE,N500AE,119.0,SAV,2022-03-31 08:35:00,OH,DCA,41.0,North-South,N500AE,102.0,DCA,2022-03-31 11:13:00,OH,SAV,17.0,North-South,N500AE,63.0,PHL,2022-03-31 17:54:00,OH,DCA,153.0,East-West,39.0,299.0,41.0,39.0,17.0,299.0,153.0,4
8,N501BG,N501BG,100.0,CAE,2022-03-01 17:30:00,OH,DCA,-31.0,North-South,N501BG,84.0,DCA,2022-03-01 19:56:00,OH,CAE,-5.0,North-South,N501BG,70.0,CRW,2022-03-02 12:56:00,OH,CLT,-9.0,North-South,46.0,936.0,-31.0,46.0,-5.0,936.0,-9.0,0
9,N501BG,N501BG,84.0,DCA,2022-03-01 19:56:00,OH,CAE,-5.0,North-South,N501BG,70.0,CRW,2022-03-02 12:56:00,OH,CLT,-9.0,North-South,N501BG,73.0,CLT,2022-03-02 14:37:00,OH,CRW,-14.0,North-South,936.0,31.0,-5.0,936.0,-9.0,31.0,-14.0,0
10,N501BG,N501BG,70.0,CRW,2022-03-02 12:56:00,OH,CLT,-9.0,North-South,N501BG,73.0,CLT,2022-03-02 14:37:00,OH,CRW,-14.0,North-South,N501BG,59.0,GSO,2022-03-02 16:41:00,OH,CLT,-11.0,East-West,31.0,51.0,-9.0,31.0,-14.0,51.0,-11.0,0
11,N501BG,N501BG,73.0,CLT,2022-03-02 14:37:00,OH,CRW,-14.0,North-South,N501BG,59.0,GSO,2022-03-02 16:41:00,OH,CLT,-11.0,East-West,N501BG,61.0,CLT,2022-03-02 18:13:00,OH,GSO,3.0,East-West,51.0,33.0,-14.0,51.0,-11.0,33.0,3.0,1
12,N501BG,N501BG,89.0,HPN,2022-03-23 15:28:00,OH,DCA,44.0,East-West,N501BG,73.0,DCA,2022-03-23 17:29:00,OH,HPN,43.0,East-West,N501BG,74.0,CAK,2022-03-23 19:17:00,OH,DCA,76.0,East-West,32.0,35.0,44.0,32.0,43.0,35.0,76.0,3
13,N501BG,N501BG,73.0,DCA,2022-03-23 17:29:00,OH,HPN,43.0,East-West,N501BG,74.0,CAK,2022-03-23 19:17:00,OH,DCA,76.0,East-West,N501BG,104.0,CLT,2022-03-24 08:50:00,OH,CAK,-5.0,North-South,35.0,739.0,43.0,35.0,76.0,739.0,-5.0,0
14,N501BG,N501BG,74.0,CAK,2022-03-23 19:17:00,OH,DCA,76.0,East-West,N501BG,104.0,CLT,2022-03-24 08:50:00,OH,CAK,-5.0,North-South,N501BG,147.0,LFT,2022-03-24 13:10:00,OH,CLT,13.0,East-West,739.0,156.0,76.0,739.0,-5.0,156.0,13.0,1
15,N501BG,N501BG,134.0,CLT,2022-03-24 15:08:00,OH,LFT,3.0,East-West,N501BG,123.0,ITH,2022-03-24 20:51:00,OH,CLT,-26.0,North-South,N501BG,113.0,DCA,2022-03-25 10:05:00,OH,HSV,-11.0,East-West,209.0,671.0,3.0,209.0,-26.0,671.0,-11.0,0
16,N501BG,N501BG,102.0,CLT,2022-03-29 06:48:00,OH,DAY,-19.0,North-South,N501BG,101.0,SDF,2022-03-29 09:41:00,OH,CLT,-21.0,East-West,N501BG,103.0,CLT,2022-03-29 11:59:00,OH,SDF,-26.0,East-West,71.0,37.0,-19.0,71.0,-21.0,37.0,-26.0,0
17,N502AE,N502AE,118.0,DCA,2022-03-01 06:01:00,OH,MHT,-1.0,East-West,N502AE,63.0,ORF,2022-03-01 08:30:00,OH,DCA,1.0,North-South,N502AE,58.0,DCA,2022-03-01 10:13:00,OH,ORF,-8.0,North-South,31.0,40.0,-1.0,31.0,1.0,40.0,-8.0,0
18,N502AE,N502AE,74.0,DCA,2022-03-03 06:39:00,OH,GSO,3.0,East-West,N502AE,119.0,SAV,2022-03-03 08:35:00,OH,DCA,0.0,North-South,N502AE,102.0,DCA,2022-03-03 11:13:00,OH,SAV,-13.0,North-South,42.0,39.0,3.0,42.0,0.0,39.0,-13.0,0
19,N502AE,N502AE,134.0,CLT,2022-03-12 15:36:00,OH,SHV,-16.0,East-West,N502AE,134.0,MHT,2022-03-13 16:20:00,OH,CLT,-21.0,East-West,N502AE,154.0,CLT,2022-03-13 19:11:00,OH,MHT,-19.0,East-West,1350.0,37.0,-16.0,1350.0,-21.0,37.0,-19.0,0
20,N502AE,N502AE,134.0,MHT,2022-03-13 16:20:00,OH,CLT,-21.0,East-West,N502AE,154.0,CLT,2022-03-13 19:11:00,OH,MHT,-19.0,East-West,N502AE,133.0,HSV,2022-03-14 13:59:00,OH,DCA,20.0,East-West,37.0,974.0,-21.0,37.0,-19.0,974.0,20.0,2
21,N502AE,N502AE,92.0,TYS,2022-03-29 12:40:00,OH,DCA,-9.0,East-West,N502AE,97.0,DCA,2022-03-29 14:44:00,OH,TYS,-8.0,East-West,N502AE,74.0,DCA,2022-03-30 06:39:00,OH,GSO,-20.0,East-West,32.0,858.0,-9.0,32.0,-8.0,858.0,-20.0,0
22,N502AE,N502AE,97.0,DCA,2022-03-29 14:44:00,OH,TYS,-8.0,East-West,N502AE,74.0,DCA,2022-03-30 06:39:00,OH,GSO,-20.0,East-West,N502AE,119.0,SAV,2022-03-30 08:35:00,OH,DCA,16.0,North-South,858.0,42.0,-8.0,858.0,-20.0,42.0,16.0,2
23,N502AE,N502AE,74.0,DCA,2022-03-30 06:39:00,OH,GSO,-20.0,East-West,N502AE,119.0,SAV,2022-03-30 08:35:00,OH,DCA,16.0,North-South,N502AE,102.0,DCA,2022-03-30 11:13:00,OH,SAV,20.0,North-South,42.0,39.0,-20.0,42.0,16.0,39.0,20.0,2
24,N503AE,N503AE,67.0,ILM,2022-03-10 14:35:00,OH,CLT,-7.0,East-West,N503AE,73.0,CLT,2022-03-10 16:13:00,OH,ILM,-2.0,East-West,N503AE,133.0,BHM,2022-03-11 13:57:00,OH,DCA,-5.0,East-West,31.0,1231.0,-7.0,31.0,-2.0,1231.0,-5.0,0
25,N503AE,N503AE,123.0,DCA,2022-03-15 17:31:00,OH,BGR,32.0,East-West,N503AE,137.0,DCA,2022-03-16 05:33:00,OH,BGR,-1.0,East-West,N503AE,122.0,HSV,2022-03-17 07:39:00,OH,DCA,-18.0,East-West,599.0,1429.0,32.0,599.0,-1.0,1429.0,-18.0,0
26,N503AE,N503AE,137.0,DCA,2022-03-16 05:33:00,OH,BGR,-1.0,East-West,N503AE,122.0,HSV,2022-03-17 07:39:00,OH,DCA,-18.0,East-West,N503AE,158.0,SHV,2022-03-17 13:25:00,OH,CLT,-14.0,East-West,1429.0,224.0,-1.0,1429.0,-18.0,224.0,-14.0,0
27,N503AE,N503AE,134.0,CLT,2022-03-17 15:36:00,OH,SHV,-15.0,East-West,N503AE,114.0,CVG,2022-03-18 17:35:00,OH,PHL,-4.0,East-West,N503AE,91.0,CAE,2022-03-19 16:55:00,OH,DCA,-5.0,North-South,1425.0,1286.0,-15.0,1425.0,-4.0,1286.0,-5.0,0
28,N503AE,N503AE,114.0,CVG,2022-03-18 17:35:00,OH,PHL,-4.0,East-West,N503AE,91.0,CAE,2022-03-19 16:55:00,OH,DCA,-5.0,North-South,N503AE,144.0,STL,2022-03-20 12:43:00,OH,DCA,-9.0,East-West,1286.0,1097.0,-4.0,1286.0,-5.0,1097.0,-9.0,0
