Year,Month,DayofMonth,DayOfWeek,FlightDate,Carrier_Airline,Tail_Number,Origin,Dest,CRSDepTime,DepTime,DepDelay,CRSArrTime,ArrTime,ArrDelay,Cancelled,Diverted,CRSElapsedTime,ActualElapsedTime,Distance,CRSDepTimeHour,CRSDepTimeMinute,CRSArrTimeHour,CRSArrTimeMinute,Schedule_DateTime,Flight_Duration_Minutes,Flight_Delay,Orientation
2022,3,31,4,2022-03-31,OH,N500AE,DCA,PHL,1754,2042.0,168.0,1857,2130.0,153.0,0.0,0.0,63.0,48.0,119.0,17,54,18,57,2022-03-31 17:54:00,63.0,153.0,Unknown
2022,3,29,2,2022-03-29,OH,N501BG,SDF,CLT,1159,1155.0,-4.0,1342,1316.0,-26.0,0.0,0.0,103.0,81.0,335.0,11,59,13,42,2022-03-29 11:59:00,103.0,-26.0,Unknown
2022,3,30,3,2022-03-30,OH,N502AE,SAV,DCA,1113,1132.0,19.0,1255,1315.0,20.0,0.0,0.0,102.0,103.0,519.0,11,13,12,55,2022-03-30 11:13:00,102.0,20.0,Unknown
2022,3,28,1,2022-03-28,OH,N503AE,CLT,SBN,2019,2014.0,-5.0,2217,2216.0,-1.0,0.0,0.0,118.0,122.0,534.0,20,19,22,17,2022-03-28 20:19:00,118.0,-1.0,Unknown
2022,3,31,4,2022-03-31,OH,N504AE,DCA,BHM,1357,1351.0,-6.0,1510,1522.0,12.0,0.0,0.0,133.0,151.0,653.0,13,57,15,10,2022-03-31 13:57:00,133.0,12.0,Unknown
2022,3,28,1,2022-03-28,OH,N505AE,ILM,DCA,1840,1832.0,-8.0,2000,1958.0,-2.0,0.0,0.0,80.0,86.0,319.0,18,40,20,0,2022-03-28 18:40:00,80.0,-2.0,Unknown
2022,3,31,4,2022-03-31,OH,N506AE,DCA,ORF,1344,1351.0,7.0,1444,1445.0,1.0,0.0,0.0,60.0,54.0,142.0,13,44,14,44,2022-03-31 13:44:00,60.0,1.0,Unknown
2022,3,28,1,2022-03-28,OH,N507AE,HPN,DCA,1129,1145.0,16.0,1240,1256.0,16.0,0.0,0.0,71.0,71.0,234.0,11,29,12,40,2022-03-28 11:29:00,71.0,16.0,Unknown
2022,3,31,4,2022-03-31,OH,N508AE,STL,DCA,1445,1432.0,-13.0,1749,1726.0,-23.0,0.0,0.0,124.0,114.0,719.0,14,45,17,49,2022-03-31 14:45:00,124.0,-23.0,Unknown
2022,3,31,4,2022-03-31,OH,N509AE,HSV,DCA,1552,1625.0,33.0,1845,1927.0,42.0,0.0,0.0,113.0,122.0,613.0,15,52,18,45,2022-03-31 15:52:00,113.0,42.0,Unknown
